Config: 
 {
  "model_name": "dsc_cifar_100p_data_10p_params",
  "num_classes": 10,
  "in_features": 1024,
  "epochs": 100,
  "batch_size": 32,
  "lr": 0.01,
  "lr_decay": false,
  "train_p": 90.0,
  "test_p": 100,
  "dnn_config": {
    "layers": [
      15,
      10,
      10
    ]
  },
  "early_stopping": true,
  "patience": 5,
  "valid_p": 10.0,
  "optimizer": "adam"
} 

CIFAR-10 Dataset:
Training on 45000 samples (90.0% of 50000) 
Valid on 5000 samples (10.0% of 50000)
Test on 10000 samples (100% of 10000)

Files already downloaded and verified
Files already downloaded and verified
Running test for every 1 epoch
Model: 

LinearClassifierDSC(
  (layers): ModuleList(
    (0): Linear(in_features=1024, out_features=15, bias=True)
    (1): Linear(in_features=1039, out_features=10, bias=True)
    (2): Linear(in_features=1049, out_features=10, bias=True)
  )
  (relu_activation): ReLU()
  (softmax_activation): LogSoftmax()
)


Summary: 

----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 15]          15,375
              ReLU-2                   [-1, 15]               0
            Linear-3                   [-1, 10]          10,400
              ReLU-4                   [-1, 10]               0
            Linear-5                   [-1, 10]          10,500
            Linear-6                   [-1, 10]          10,500
        LogSoftmax-7                   [-1, 10]               0
================================================================
Total params: 46,775
Trainable params: 46,775
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.18
Estimated Total Size (MB): 0.18
----------------------------------------------------------------


Train Epoch: 1 | Loss: 2.078534 | Acc: 0.2968| MSE: 0.0844 || V Loss: 1.8618| V Acc: 0.3410| V MSE: 0.0786| CS: ({'0': 0.41, '1': 0.53, '2': 0.3, '3': 0.4, '4': 0.35, '5': 0.46, '6': 0.3, '7': 0.6, '8': 0.41, '9': 0.43}, 0.42)
Test | NLL Loss: 1.856464 | Acc: 0.3420 | MSE: 0.07863319158173217| CS: ({'0': 0.41, '1': 0.53, '2': 0.32, '3': 0.4, '4': 0.33, '5': 0.46, '6': 0.31, '7': 0.57, '8': 0.39, '9': 0.45}, 0.42)
Train Epoch: 2 | Loss: 1.791802 | Acc: 0.3706| MSE: 0.0766 || V Loss: 1.7809| V Acc: 0.3722| V MSE: 0.0762| CS: ({'0': 0.42, '1': 0.56, '2': 0.35, '3': 0.38, '4': 0.34, '5': 0.51, '6': 0.33, '7': 0.55, '8': 0.54, '9': 0.5}, 0.45)
Test | NLL Loss: 1.776226 | Acc: 0.3700 | MSE: 0.07625004544425697| CS: ({'0': 0.43, '1': 0.54, '2': 0.36, '3': 0.39, '4': 0.34, '5': 0.52, '6': 0.33, '7': 0.53, '8': 0.53, '9': 0.51}, 0.45)
Train Epoch: 3 | Loss: 1.727104 | Acc: 0.3896| MSE: 0.0746 || V Loss: 1.7417| V Acc: 0.3842| V MSE: 0.0749| CS: ({'0': 0.52, '1': 0.58, '2': 0.39, '3': 0.38, '4': 0.34, '5': 0.51, '6': 0.43, '7': 0.61, '8': 0.52, '9': 0.47}, 0.47)
Test | NLL Loss: 1.753835 | Acc: 0.3821 | MSE: 0.07520225339423353| CS: ({'0': 0.54, '1': 0.58, '2': 0.41, '3': 0.37, '4': 0.32, '5': 0.48, '6': 0.42, '7': 0.59, '8': 0.52, '9': 0.49}, 0.47)
Train Epoch: 4 | Loss: 1.687240 | Acc: 0.4061| MSE: 0.0733 || V Loss: 1.7258| V Acc: 0.3929| V MSE: 0.0744| CS: ({'0': 0.45, '1': 0.57, '2': 0.4, '3': 0.4, '4': 0.33, '5': 0.45, '6': 0.37, '7': 0.58, '8': 0.51, '9': 0.49}, 0.45)
Test | NLL Loss: 1.737442 | Acc: 0.3780 | MSE: 0.07499392962636658| CS: ({'0': 0.47, '1': 0.57, '2': 0.41, '3': 0.38, '4': 0.32, '5': 0.49, '6': 0.37, '7': 0.56, '8': 0.51, '9': 0.5}, 0.46)
Train Epoch: 5 | Loss: 1.658297 | Acc: 0.4158| MSE: 0.0724 || V Loss: 1.7214| V Acc: 0.3915| V MSE: 0.0742| CS: ({'0': 0.51, '1': 0.59, '2': 0.3, '3': 0.42, '4': 0.35, '5': 0.46, '6': 0.39, '7': 0.59, '8': 0.54, '9': 0.56}, 0.47)
Test | NLL Loss: 1.742503 | Acc: 0.3811 | MSE: 0.07489130112785881| CS: ({'0': 0.51, '1': 0.59, '2': 0.32, '3': 0.4, '4': 0.35, '5': 0.49, '6': 0.38, '7': 0.55, '8': 0.53, '9': 0.56}, 0.47)
Train Epoch: 6 | Loss: 1.638614 | Acc: 0.4207| MSE: 0.0717 || V Loss: 1.6995| V Acc: 0.4090| V MSE: 0.0735| CS: ({'0': 0.51, '1': 0.59, '2': 0.34, '3': 0.4, '4': 0.36, '5': 0.51, '6': 0.41, '7': 0.61, '8': 0.5, '9': 0.52}, 0.47)
