Config: 
 {
  "model_name": "dsc_cifar_10p_data_100p_params",
  "num_classes": 10,
  "in_features": 1024,
  "epochs": 100,
  "batch_size": 32,
  "lr": 0.01,
  "lr_decay": false,
  "train_p": 9.0,
  "test_p": 100,
  "dnn_config": {
    "layers": [
      150,
      100,
      10
    ]
  },
  "early_stopping": true,
  "patience": 5,
  "valid_p": 1.0,
  "optimizer": "adam"
} 

CIFAR-10 Dataset:
Training on 4500 samples (9.0% of 50000) 
Valid on 500 samples (1.0% of 50000)
Test on 10000 samples (100% of 10000)

Files already downloaded and verified
Files already downloaded and verified
Running test for every 1 epoch
Model: 

LinearClassifierDSC(
  (layers): ModuleList(
    (0): Linear(in_features=1024, out_features=150, bias=True)
    (1): Linear(in_features=1174, out_features=100, bias=True)
    (2): Linear(in_features=1274, out_features=10, bias=True)
  )
  (relu_activation): ReLU()
  (softmax_activation): LogSoftmax()
)


Summary: 

----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                  [-1, 150]         153,750
              ReLU-2                  [-1, 150]               0
            Linear-3                  [-1, 100]         117,500
              ReLU-4                  [-1, 100]               0
            Linear-5                   [-1, 10]          12,750
            Linear-6                   [-1, 10]          12,750
        LogSoftmax-7                   [-1, 10]               0
================================================================
Total params: 296,750
Trainable params: 296,750
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 1.13
Estimated Total Size (MB): 1.14
----------------------------------------------------------------


Train Epoch: 1 | Loss: 2.607779 | Acc: 0.2157| MSE: 0.0963 || V Loss: 2.5074| V Acc: 0.2668| V MSE: 0.0914| CS: ({'0': 0.5, '1': 0.65, '2': 0.21, '3': 0.48, '4': 0.31, '5': 0.6, '6': 0.43, '7': 0.47, '8': 0.59, '9': 0.57}, 0.48)
Test | NLL Loss: 2.527316 | Acc: 0.2367 | MSE: 0.09448601876775296| CS: ({'0': 0.49, '1': 0.61, '2': 0.3, '3': 0.48, '4': 0.29, '5': 0.61, '6': 0.4, '7': 0.47, '8': 0.68, '9': 0.48}, 0.48)
Train Epoch: 2 | Loss: 2.253617 | Acc: 0.2879| MSE: 0.0886 || V Loss: 2.2911| V Acc: 0.3137| V MSE: 0.0873| CS: ({'0': 0.79, '1': 0.61, '2': 0.38, '3': 0.57, '4': 0.39, '5': 0.7, '6': 0.33, '7': 0.48, '8': 0.55, '9': 0.59}, 0.54)
Test | NLL Loss: 2.371138 | Acc: 0.2871 | MSE: 0.09032585531377944| CS: ({'0': 0.7, '1': 0.6, '2': 0.39, '3': 0.52, '4': 0.4, '5': 0.67, '6': 0.39, '7': 0.5, '8': 0.5, '9': 0.62}, 0.53)
Train Epoch: 3 | Loss: 1.988169 | Acc: 0.3395| MSE: 0.0818 || V Loss: 2.4301| V Acc: 0.2684| V MSE: 0.0927| CS: ({'0': 0.6, '1': 0.56, '2': 0.38, '3': 0.5, '4': 0.46, '5': 0.63, '6': 0.57, '7': 0.33, '8': 0.46, '9': 0.65}, 0.51)
Test | NLL Loss: 2.421495 | Acc: 0.2489 | MSE: 0.09340689802607789| CS: ({'0': 0.58, '1': 0.54, '2': 0.41, '3': 0.42, '4': 0.42, '5': 0.56, '6': 0.56, '7': 0.51, '8': 0.5, '9': 0.58}, 0.51)
Train Epoch: 4 | Loss: 1.830635 | Acc: 0.3963| MSE: 0.0773 || V Loss: 2.2526| V Acc: 0.3172| V MSE: 0.0871| CS: ({'0': 0.75, '1': 0.59, '2': 0.44, '3': 0.66, '4': 0.46, '5': 0.55, '6': 0.48, '7': 0.48, '8': 0.69, '9': 0.64}, 0.57)
Test | NLL Loss: 2.362206 | Acc: 0.2842 | MSE: 0.09088506511510752| CS: ({'0': 0.69, '1': 0.64, '2': 0.47, '3': 0.45, '4': 0.41, '5': 0.53, '6': 0.42, '7': 0.56, '8': 0.67, '9': 0.66}, 0.55)
Train Epoch: 5 | Loss: 1.675956 | Acc: 0.4308| MSE: 0.0728 || V Loss: 2.4862| V Acc: 0.2867| V MSE: 0.0948| CS: ({'0': 0.49, '1': 0.54, '2': 0.5, '3': 0.59, '4': 0.35, '5': 0.55, '6': 0.47, '7': 0.58, '8': 0.5, '9': 0.72}, 0.53)
Test | NLL Loss: 2.408288 | Acc: 0.2714 | MSE: 0.09336112280147144| CS: ({'0': 0.57, '1': 0.62, '2': 0.51, '3': 0.63, '4': 0.39, '5': 0.54, '6': 0.41, '7': 0.66, '8': 0.55, '9': 0.72}, 0.56)
Train Epoch: 6 | Loss: 1.611439 | Acc: 0.4683| MSE: 0.0699 || V Loss: 2.3649| V Acc: 0.3523| V MSE: 0.0864| CS: ({'0': 0.57, '1': 0.73, '2': 0.47, '3': 0.67, '4': 0.52, '5': 0.69, '6': 0.56, '7': 0.65, '8': 0.69, '9': 0.68}, 0.62)
Test | NLL Loss: 2.302408 | Acc: 0.3158 | MSE: 0.08956203512109506| CS: ({'0': 0.57, '1': 0.67, '2': 0.45, '3': 0.6, '4': 0.47, '5': 0.6, '6': 0.54, '7': 0.7, '8': 0.69, '9': 0.69}, 0.6)
Train Epoch: 7 | Loss: 1.384484 | Acc: 0.5371| MSE: 0.0614 || V Loss: 2.4686| V Acc: 0.3320| V MSE: 0.0903| CS: ({'0': 0.68, '1': 0.67, '2': 0.57, '3': 0.84, '4': 0.6, '5': 0.58, '6': 0.69, '7': 0.62, '8': 0.66, '9': 0.66}, 0.66)
Test | NLL Loss: 2.469641 | Acc: 0.3062 | MSE: 0.0925741605341625| CS: ({'0': 0.6, '1': 0.71, '2': 0.62, '3': 0.59, '4': 0.53, '5': 0.62, '6': 0.67, '7': 0.68, '8': 0.65, '9': 0.68}, 0.64)
Train Epoch: 8 | Loss: 1.300168 | Acc: 0.5590| MSE: 0.0586 || V Loss: 2.4824| V Acc: 0.3133| V MSE: 0.0908| CS: ({'0': 0.63, '1': 0.66, '2': 0.49, '3': 0.65, '4': 0.5, '5': 0.66, '6': 0.56, '7': 0.68, '8': 0.57, '9': 0.76}, 0.62)
Test | NLL Loss: 2.442340 | Acc: 0.3039 | MSE: 0.09172018734030069| CS: ({'0': 0.62, '1': 0.69, '2': 0.58, '3': 0.63, '4': 0.47, '5': 0.65, '6': 0.57, '7': 0.71, '8': 0.56, '9': 0.71}, 0.62)
Train Epoch: 9 | Loss: 1.156288 | Acc: 0.6116| MSE: 0.0529 || V Loss: 2.5026| V Acc: 0.3477| V MSE: 0.0893| CS: ({'0': 0.71, '1': 0.75, '2': 0.55, '3': 0.8, '4': 0.67, '5': 0.69, '6': 0.64, '7': 0.68, '8': 0.67, '9': 0.73}, 0.69)
Test | NLL Loss: 2.541986 | Acc: 0.3166 | MSE: 0.09307757416329444| CS: ({'0': 0.66, '1': 0.78, '2': 0.66, '3': 0.59, '4': 0.59, '5': 0.66, '6': 0.62, '7': 0.73, '8': 0.68, '9': 0.7}, 0.67)
Train Epoch: 10 | Loss: 1.053309 | Acc: 0.6477| MSE: 0.0483 || V Loss: 2.7666| V Acc: 0.3113| V MSE: 0.0946| CS: ({'0': 0.83, '1': 0.74, '2': 0.67, '3': 0.68, '4': 0.65, '5': 0.63, '6': 0.66, '7': 0.64, '8': 0.65, '9': 0.7}, 0.69)
Test | NLL Loss: 2.767664 | Acc: 0.3034 | MSE: 0.095977306032714| CS: ({'0': 0.76, '1': 0.75, '2': 0.68, '3': 0.67, '4': 0.61, '5': 0.6, '6': 0.66, '7': 0.77, '8': 0.67, '9': 0.71}, 0.69)
Train Epoch: 11 | Loss: 1.004413 | Acc: 0.6683| MSE: 0.0460 || V Loss: 2.7155| V Acc: 0.3832| V MSE: 0.0875| CS: ({'0': 0.82, '1': 0.78, '2': 0.48, '3': 0.82, '4': 0.69, '5': 0.76, '6': 0.59, '7': 0.75, '8': 0.83, '9': 0.73}, 0.72)
Test | NLL Loss: 3.002071 | Acc: 0.3122 | MSE: 0.09811722641935744| CS: ({'0': 0.82, '1': 0.77, '2': 0.63, '3': 0.63, '4': 0.61, '5': 0.76, '6': 0.62, '7': 0.81, '8': 0.8, '9': 0.73}, 0.72)
Train Epoch: 12 | Loss: 0.852727 | Acc: 0.7173| MSE: 0.0398 || V Loss: 2.6496| V Acc: 0.3281| V MSE: 0.0925| CS: ({'0': 0.7, '1': 0.73, '2': 0.53, '3': 0.87, '4': 0.68, '5': 0.73, '6': 0.62, '7': 0.78, '8': 0.72, '9': 0.83}, 0.72)
Test | NLL Loss: 2.734832 | Acc: 0.3278 | MSE: 0.09473991065550917| CS: ({'0': 0.69, '1': 0.77, '2': 0.58, '3': 0.71, '4': 0.56, '5': 0.73, '6': 0.65, '7': 0.79, '8': 0.7, '9': 0.79}, 0.7)
Train Epoch: 13 | Loss: 0.772651 | Acc: 0.7449| MSE: 0.0360 || V Loss: 2.9668| V Acc: 0.3469| V MSE: 0.0932| CS: ({'0': 0.71, '1': 0.75, '2': 0.61, '3': 0.78, '4': 0.61, '5': 0.7, '6': 0.76, '7': 0.79, '8': 0.76, '9': 0.8}, 0.73)
Test | NLL Loss: 3.013109 | Acc: 0.3203 | MSE: 0.0979830013058437| CS: ({'0': 0.71, '1': 0.8, '2': 0.64, '3': 0.71, '4': 0.56, '5': 0.74, '6': 0.71, '7': 0.82, '8': 0.78, '9': 0.78}, 0.73)
Train Epoch: 14 | Loss: 0.734426 | Acc: 0.7582| MSE: 0.0343 || V Loss: 3.0423| V Acc: 0.3262| V MSE: 0.0964| CS: ({'0': 0.81, '1': 0.76, '2': 0.58, '3': 0.78, '4': 0.73, '5': 0.78, '6': 0.64, '7': 0.86, '8': 0.76, '9': 0.85}, 0.75)
Test | NLL Loss: 3.046102 | Acc: 0.3133 | MSE: 0.09890183865928802| CS: ({'0': 0.76, '1': 0.79, '2': 0.62, '3': 0.7, '4': 0.63, '5': 0.75, '6': 0.7, '7': 0.83, '8': 0.74, '9': 0.8}, 0.73)
Train Epoch: 15 | Loss: 0.651210 | Acc: 0.7837| MSE: 0.0310 || V Loss: 3.2806| V Acc: 0.3398| V MSE: 0.0983| CS: ({'0': 0.72, '1': 0.79, '2': 0.55, '3': 0.79, '4': 0.74, '5': 0.69, '6': 0.66, '7': 0.82, '8': 0.78, '9': 0.84}, 0.74)
Test | NLL Loss: 3.355808 | Acc: 0.2983 | MSE: 0.10376158763711064| CS: ({'0': 0.73, '1': 0.83, '2': 0.7, '3': 0.74, '4': 0.69, '5': 0.74, '6': 0.68, '7': 0.84, '8': 0.78, '9': 0.79}, 0.75)
Train Epoch: 16 | Loss: 0.593201 | Acc: 0.8040| MSE: 0.0280 || V Loss: 3.5251| V Acc: 0.3379| V MSE: 0.1004| CS: ({'0': 0.71, '1': 0.79, '2': 0.7, '3': 0.77, '4': 0.66, '5': 0.79, '6': 0.73, '7': 0.82, '8': 0.8, '9': 0.79}, 0.76)
