Config: 
 {
  "model_name": "gsc_cifar_10p_data_100p_params",
  "num_classes": 10,
  "in_features": 1024,
  "epochs": 100,
  "batch_size": 32,
  "lr": 0.01,
  "lr_decay": false,
  "train_p": 9.0,
  "test_p": 100,
  "dnn_config": {
    "layers": [
      150,
      100,
      10
    ]
  },
  "early_stopping": true,
  "patience": 5,
  "valid_p": 1.0,
  "optimizer": "adam"
} 

CIFAR-10 Dataset:
Training on 4500 samples (9.0% of 50000) 
Valid on 500 samples (1.0% of 50000)
Test on 10000 samples (100% of 10000)

Files already downloaded and verified
Files already downloaded and verified
Running test for every 1 epoch
Model: 

LinearClassifierGSC(
  (layers): ModuleList(
    (0): Linear(in_features=1024, out_features=150, bias=True)
    (1): Linear(in_features=1174, out_features=100, bias=True)
    (2): Linear(in_features=1274, out_features=10, bias=True)
  )
  (relu_activation): ReLU()
  (softmax_activation): LogSoftmax()
)


Summary: 

----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                  [-1, 150]         153,750
              ReLU-2                  [-1, 150]               0
            Linear-3                  [-1, 100]         117,500
              ReLU-4                  [-1, 100]               0
            Linear-5                   [-1, 10]          12,750
        LogSoftmax-6                   [-1, 10]               0
================================================================
Total params: 284,000
Trainable params: 284,000
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 1.08
Estimated Total Size (MB): 1.09
----------------------------------------------------------------


Train Epoch: 1 | Loss: 3.216746 | Acc: 0.2025| MSE: 0.1060 || V Loss: 3.2177| V Acc: 0.1980| V MSE: 0.1067| CS: ({'0': 0.69, '1': 0.74, '2': 0.46, '3': 0.4, '4': 0.21, '5': 0.58, '6': 0.48, '7': 0.56, '8': 0.39, '9': 0.78}, 0.53)
Test | NLL Loss: 3.218399 | Acc: 0.2076 | MSE: 0.10646128694946393| CS: ({'0': 0.67, '1': 0.69, '2': 0.48, '3': 0.42, '4': 0.35, '5': 0.62, '6': 0.49, '7': 0.56, '8': 0.57, '9': 0.72}, 0.56)
Train Epoch: 2 | Loss: 2.966911 | Acc: 0.2589| MSE: 0.0996 || V Loss: 3.6562| V Acc: 0.2105| V MSE: 0.1117| CS: ({'0': 0.85, '1': 0.69, '2': 0.56, '3': 0.59, '4': 0.43, '5': 0.67, '6': 0.66, '7': 0.66, '8': 0.62, '9': 0.59}, 0.63)
Test | NLL Loss: 3.769921 | Acc: 0.2106 | MSE: 0.1125715215223285| CS: ({'0': 0.8, '1': 0.7, '2': 0.64, '3': 0.58, '4': 0.34, '5': 0.61, '6': 0.63, '7': 0.65, '8': 0.61, '9': 0.58}, 0.61)
Train Epoch: 3 | Loss: 2.890260 | Acc: 0.2823| MSE: 0.0984 || V Loss: 3.2710| V Acc: 0.2148| V MSE: 0.1088| CS: ({'0': 0.67, '1': 0.55, '2': 0.62, '3': 0.75, '4': 0.56, '5': 0.79, '6': 0.5, '7': 0.69, '8': 0.6, '9': 0.58}, 0.63)
Test | NLL Loss: 3.441792 | Acc: 0.2121 | MSE: 0.10958853851968108| CS: ({'0': 0.63, '1': 0.67, '2': 0.49, '3': 0.74, '4': 0.52, '5': 0.68, '6': 0.34, '7': 0.65, '8': 0.64, '9': 0.64}, 0.6)
Train Epoch: 4 | Loss: 2.831143 | Acc: 0.3138| MSE: 0.0959 || V Loss: 4.1350| V Acc: 0.2371| V MSE: 0.1112| CS: ({'0': 0.74, '1': 0.75, '2': 0.56, '3': 0.65, '5': 0.68, '6': 0.41, '7': 0.78, '8': 0.8, '9': 0.81}, 0.69)
Test | NLL Loss: 4.125201 | Acc: 0.2119 | MSE: 0.11576110995806063| CS: ({'0': 0.66, '1': 0.71, '2': 0.54, '3': 0.72, '4': 0.45, '5': 0.7, '6': 0.53, '7': 0.73, '8': 0.84, '9': 0.76}, 0.66)
Train Epoch: 5 | Loss: 2.923307 | Acc: 0.3262| MSE: 0.0961 || V Loss: 3.5797| V Acc: 0.2547| V MSE: 0.1058| CS: ({'0': 0.76, '1': 0.81, '2': 0.69, '3': 0.7, '4': 0.71, '5': 0.86, '6': 0.58, '7': 0.75, '8': 0.78, '9': 0.82}, 0.75)
Test | NLL Loss: 3.523364 | Acc: 0.2694 | MSE: 0.10610288860032353| CS: ({'0': 0.62, '1': 0.79, '2': 0.67, '3': 0.73, '4': 0.59, '5': 0.76, '6': 0.58, '7': 0.72, '8': 0.79, '9': 0.78}, 0.7)
Train Epoch: 6 | Loss: 2.810860 | Acc: 0.3482| MSE: 0.0942 || V Loss: 3.5771| V Acc: 0.2641| V MSE: 0.1071| CS: ({'0': 0.7, '1': 0.72, '2': 0.65, '3': 0.74, '4': 0.65, '5': 0.74, '6': 0.64, '7': 0.83, '8': 0.62, '9': 0.81}, 0.71)
