Config: 
 {
  "model_name": "simpleffn_cifar_10p_data_10p_params",
  "num_classes": 10,
  "in_features": 1024,
  "epochs": 100,
  "batch_size": 32,
  "lr": 0.01,
  "lr_decay": false,
  "train_p": 9.0,
  "test_p": 100,
  "dnn_config": {
    "layers": [
      30,
      15,
      10
    ]
  },
  "early_stopping": true,
  "patience": 5,
  "valid_p": 1.0,
  "optimizer": "adam"
} 

CIFAR-10 Dataset:
Training on 4500 samples (9.0% of 50000) 
Valid on 500 samples (1.0% of 50000)
Test on 10000 samples (100% of 10000)

Files already downloaded and verified
Files already downloaded and verified
Running test for every 1 epoch
Model: 

LinearClassifier(
  (layers): ModuleList(
    (0): Linear(in_features=1024, out_features=30, bias=True)
    (1): Linear(in_features=30, out_features=15, bias=True)
    (2): Linear(in_features=15, out_features=10, bias=True)
  )
  (relu_activation): ReLU()
  (softmax_activation): LogSoftmax()
)


Summary: 

----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 30]          30,750
              ReLU-2                   [-1, 30]               0
            Linear-3                   [-1, 15]             465
              ReLU-4                   [-1, 15]               0
            Linear-5                   [-1, 10]             160
        LogSoftmax-6                   [-1, 10]               0
================================================================
Total params: 31,375
Trainable params: 31,375
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.12
Estimated Total Size (MB): 0.12
----------------------------------------------------------------


Train Epoch: 1 | Loss: 2.131667 | Acc: 0.2332| MSE: 0.0861 || V Loss: 2.0611| V Acc: 0.2273| V MSE: 0.0844| CS: ({'0': 0.3, '1': 0.41, '2': 0.24, '3': 0.42, '4': 0.24, '5': 0.17, '6': 0.23, '7': 0.3, '8': 0.24, '9': 0.41}, 0.3)
Test | NLL Loss: 2.039092 | Acc: 0.2550 | MSE: 0.08399073115457742| CS: ({'0': 0.28, '1': 0.34, '2': 0.22, '3': 0.29, '4': 0.23, '5': 0.19, '6': 0.24, '7': 0.22, '8': 0.25, '9': 0.37}, 0.26)
Train Epoch: 2 | Loss: 2.023183 | Acc: 0.2662| MSE: 0.0835 || V Loss: 2.0744| V Acc: 0.2754| V MSE: 0.0848| CS: ({'0': 0.54, '1': 0.39, '2': 0.21, '3': 0.25, '4': 0.25, '5': 0.48, '6': 0.25, '7': 0.39, '8': 0.3, '9': 0.67}, 0.37)
Test | NLL Loss: 2.096688 | Acc: 0.2601 | MSE: 0.08559156792422834| CS: ({'0': 0.45, '1': 0.38, '2': 0.21, '3': 0.28, '4': 0.26, '5': 0.47, '6': 0.26, '7': 0.37, '8': 0.32, '9': 0.63}, 0.36)
Train Epoch: 3 | Loss: 1.954103 | Acc: 0.2940| MSE: 0.0818 || V Loss: 2.0800| V Acc: 0.2855| V MSE: 0.0846| CS: ({'0': 0.4, '1': 0.47, '2': 0.26, '4': 0.2, '5': 0.51, '6': 0.28, '7': 0.23, '8': 0.27, '9': 0.5}, 0.35)
Test | NLL Loss: 2.053940 | Acc: 0.2625 | MSE: 0.084207595941929| CS: ({'0': 0.43, '1': 0.46, '2': 0.28, '4': 0.2, '5': 0.49, '6': 0.31, '7': 0.28, '8': 0.27, '9': 0.48}, 0.36)
Train Epoch: 4 | Loss: 1.917297 | Acc: 0.3016| MSE: 0.0808 || V Loss: 2.0263| V Acc: 0.2820| V MSE: 0.0821| CS: ({'0': 0.47, '1': 0.45, '2': 0.22, '4': 0.23, '5': 0.53, '6': 0.19, '7': 0.64, '8': 0.28, '9': 0.44}, 0.38)
Test | NLL Loss: 2.031828 | Acc: 0.2723 | MSE: 0.08342080053906091| CS: ({'0': 0.45, '1': 0.42, '2': 0.23, '3': 0.24, '4': 0.23, '5': 0.49, '6': 0.2, '7': 0.53, '8': 0.28, '9': 0.42}, 0.35)
Train Epoch: 5 | Loss: 1.876717 | Acc: 0.3136| MSE: 0.0795 || V Loss: 2.1174| V Acc: 0.2285| V MSE: 0.0858| CS: ({'0': 0.37, '1': 0.65, '2': 0.22, '3': 0.47, '4': 0.31, '5': 0.46, '6': 0.23, '7': 0.38, '8': 0.29, '9': 0.57}, 0.39)
Test | NLL Loss: 2.103223 | Acc: 0.2462 | MSE: 0.08579165155228716| CS: ({'0': 0.35, '1': 0.53, '2': 0.25, '3': 0.36, '4': 0.3, '5': 0.42, '6': 0.24, '7': 0.33, '8': 0.27, '9': 0.52}, 0.36)
Train Epoch: 6 | Loss: 1.861662 | Acc: 0.3268| MSE: 0.0790 || V Loss: 2.0958| V Acc: 0.2859| V MSE: 0.0836| CS: ({'0': 0.42, '1': 0.52, '2': 0.27, '3': 0.55, '4': 0.24, '5': 0.3, '6': 0.19, '7': 0.52, '8': 0.39, '9': 0.52}, 0.39)
